Time,,,,,0,1,2,3,4,5,6,7,8
"admissions-critical",,,,,0,6.44274E-09,1.08079E-06,1.22862E-05,5.08485E-05,0.000127217,0.00023998,0.000382609,0.000549625
"admissions-hospital",,,,,0,1.363E-05,0.000273857,0.00107286,0.00236183,0.00398688,0.0058586,0.00795136,0.0102673
already triggered,,,,,0
"available-susceptible","0","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","0","High-risk","non-vaccinated",,170,169.996,169.992,169.987,169.982,169.976,169.969,169.961,169.952
"available-susceptible","0","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","0","Low-risk","non-vaccinated",,4086,4085.9,4085.8,4085.68,4085.56,4085.42,4085.25,4085.06,4084.83
"available-susceptible","1","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","1","High-risk","non-vaccinated",,530,529.987,529.974,529.959,529.943,529.924,529.903,529.878,529.849
"available-susceptible","1","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","1","Low-risk","non-vaccinated",,12722,12721.7,12721.4,12721,12720.6,12720.2,12719.7,12719.1,12718.4
"available-susceptible","2","High-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","2","High-risk","non-vaccinated",,107,106.997,106.995,106.992,106.988,106.985,106.98,106.975,106.969
"available-susceptible","2","Low-risk",vaccinated,,0,0,0,0,0,0,0,0,0
"available-susceptible","2","Low-risk","non-vaccinated",,2256,2255.95,2255.89,2255.83,2255.76,2255.68,2255.59,2255.48,2255.36
average time before symptoms,,,,,6.51991,6.51991,6.51991,6.51991,6.51991,6.51991,6.51991,6.51991,6.51991
"average-time-tobe-critical-toDead",,,,,13.7165
"average-time-tobe-critical-toImmune",,,,,17.7685
"average-time-tobe-exposed",,,,,5.51991
"average-time-tobe-hospital-toCritical",,,,,1.95
"average-time-tobe-hospital-toDead",,,,,7.986
"average-time-tobe-hospital-toImmune",,,,,8.992
"average-time-tobe-infectious-toDead",,,,,6.996
"average-time-tobe-infectious-toHospital",,,,,5.996
"average-time-tobe-infectious-toImmune",,,,,9.5
base long movement,,,,,0.15
base short movement,,,,,0.4
Becomming infectious asymptomatic,"0",In isolation,"High-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"0",In isolation,"High-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"0",In isolation,"Low-risk",vaccinated,0,0,0,0,0,0,0,0,0
Becomming infectious asymptomatic,"0",In isolation,"Low-risk","non-vaccinated",0,0,0,0,0,0,0,0,0
